Region,temperate/boreal-humid|AEZ1,temperate/boreal-humid|AEZ2,temperate/boreal-humid|AEZ3,temperate/boreal-humid|AEZ4,temperate/boreal-humid|AEZ5,temperate/boreal-humid|AEZ6,temperate/boreal-humid|AEZ7,temperate/boreal-humid|AEZ8,temperate/boreal-humid|AEZ9,temperate/boreal-humid|AEZ10,temperate/boreal-humid|AEZ11,temperate/boreal-humid|AEZ12,temperate/boreal-humid|AEZ13,temperate/boreal-humid|AEZ14,temperate/boreal-humid|AEZ15,temperate/boreal-humid|AEZ16,temperate/boreal-humid|AEZ17,temperate/boreal-humid|AEZ18,temperate/boreal-humid|AEZ19,temperate/boreal-humid|AEZ20,temperate/boreal-humid|AEZ21,temperate/boreal-humid|AEZ22,temperate/boreal-humid|AEZ23,temperate/boreal-humid|AEZ24,temperate/boreal-humid|AEZ25,temperate/boreal-humid|AEZ26,temperate/boreal-humid|AEZ27,temperate/boreal-humid|AEZ28,temperate/boreal-humid|AEZ29
OECD90,2753274.68,988697.52,981031.29,418015.90,426218.10,302021.20,216043.88,3707035.43,483375.61,450034.12,117452.20,204645.11,91488.44,77387.15,23362.88,6138.23,2813.05,435.02,2245.74,1416.57,542.64,243483.03,88918.27,59452.24,7172.92,28999.46,13676.17,5328.98,3200533.77
Eastern Europe,2810195.64,336867.64,426122.75,147701.25,67980.03,67932.22,57958.53,1402576.22,182183.39,113602.85,33270.81,56038.86,37920.44,27124.70,3604.31,1113.24,2164.92,819.99,1231.98,1863.98,1817.38,1729189.74,69619.74,109879.81,8066.48,36132.30,11027.57,3653.75,5675199.85
Asia (Sans Japan),129381.30,29610.36,495156.79,732401.05,11225.84,33166.15,110505.69,150396.24,47022.73,304844.37,267825.06,15959.47,15747.23,33126.40,612896.86,62397.15,29323.62,10517.62,33105.30,988.67,746.74,406434.00,74945.29,245257.55,138537.85,27005.19,8988.23,8408.69,94093.84
Middle East and Africa,660277.48,125540.10,133351.52,37849.06,39767.23,43105.10,19322.10,573562.81,112400.68,157261.09,44891.32,100501.79,56363.34,30652.30,14792.35,1945.40,295.09,85.93,1417.84,234.11,141.05,100054.15,26362.34,29762.00,7935.43,34847.23,16808.77,6866.24,44609.02
Latin America,197590.57,46603.56,211799.96,198021.48,48899.60,93341.65,138051.58,840610.79,118247.78,174852.45,62217.87,165291.29,77539.52,45549.37,2819.59,96.74,4.51,0.10,304.87,0.04,0.00,285089.62,44078.68,26467.30,5085.97,77032.70,23028.27,4863.03,103352.66
China,54857.46,8109.68,310337.78,435807.34,2327.68,5072.38,7890.57,79187.76,16370.89,189941.03,155777.26,2729.98,4376.92,4051.27,298258.93,32296.40,26391.00,8896.19,12241.32,548.76,313.63,250069.26,32895.59,216218.16,115433.34,4445.31,4350.57,3066.16,62857.28
India,37835.42,8229.60,44195.28,85649.84,6368.20,8823.88,23960.66,32610.77,12298.38,25005.58,21333.24,10603.77,5014.79,9721.17,268568.03,29225.83,1552.04,806.99,20695.59,303.90,166.48,119212.99,33200.83,7305.41,5568.41,21192.41,2099.17,1467.28,25043.31
EU,379863.42,364239.51,177835.26,59327.34,59470.46,72576.55,79173.35,801275.71,275505.77,152919.98,21978.86,81236.27,47827.26,33264.33,3538.64,1461.45,130.65,30.44,712.73,165.56,127.51,284297.86,101967.29,67350.13,4669.50,24885.25,12321.34,4035.76,170055.48
USA,1144702.32,106565.89,396672.34,145441.65,30177.48,36720.50,21958.20,2177701.28,93610.70,149048.10,42982.77,54836.84,6929.54,5380.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,62197.43,8643.21,4441.12,913.03,5968.86,381.74,361.75,644531.70
