,total,temperate/boreal-semiarid|AEZ1,temperate/boreal-semiarid|AEZ2,temperate/boreal-semiarid|AEZ3,temperate/boreal-semiarid|AEZ4,temperate/boreal-semiarid|AEZ5,temperate/boreal-semiarid|AEZ6,temperate/boreal-semiarid|AEZ7,temperate/boreal-semiarid|AEZ8,temperate/boreal-semiarid|AEZ9,temperate/boreal-semiarid|AEZ10,temperate/boreal-semiarid|AEZ11,temperate/boreal-semiarid|AEZ12,temperate/boreal-semiarid|AEZ13,temperate/boreal-semiarid|AEZ14,temperate/boreal-semiarid|AEZ15,temperate/boreal-semiarid|AEZ16,temperate/boreal-semiarid|AEZ17,temperate/boreal-semiarid|AEZ18,temperate/boreal-semiarid|AEZ19,temperate/boreal-semiarid|AEZ20,temperate/boreal-semiarid|AEZ21,temperate/boreal-semiarid|AEZ22,temperate/boreal-semiarid|AEZ23,temperate/boreal-semiarid|AEZ24,temperate/boreal-semiarid|AEZ25,temperate/boreal-semiarid|AEZ26,temperate/boreal-semiarid|AEZ27,temperate/boreal-semiarid|AEZ28,temperate/boreal-semiarid|AEZ29
OECD90:Excel,3665022,320078,317864,147521,42673,116621,54124,15656,487718,484344,224784,65023,177701,82471,23856,35789,35541,16495,4771,13040,6052,1751,164579,163440,75853,21942,59964,27830,8050,469493
OECD90:spatial,2833261,181219,119468,365739,9015,34818,90284,3171,317430,168196,200203,5755,88929,144568,3035,26061,20720,6166,182,7008,3781,44,43408,55136,41791,915,29136,30891,438,835741
Eastern Europe:Excel,4774536,628068,631590,402504,95039,104453,66566,15718,532499,535485,341258,80578,88559,56437,13326,15922,16011,10204,2409,2648,1687,398,90495,91002,57995,13694,15050,9591,2265,853085
Eastern Europe:spatial,3393044,237754,148175,213627,759,15274,14772,679,268508,54837,57069,2838,16164,37948,7935,20833,605,5172,208,594,3835,484,19701,3004,11648,344,2829,5163,745,2241525
Asia (Sans Japan):Excel,4935041,333975,273221,269303,131766,168990,166567,81499,380403,311204,306742,150084,192483,189723,92828,56249,46017,45357,22192,28462,28054,13726,100200,81973,80797,39533,50701,49974,24451,1218568
Asia (Sans Japan):spatial,3116883,204628,5139,411066,41702,7245,112130,18016,825819,41670,331124,12348,45307,139148,18915,111427,6068,6053,171,2734,1467,185,152696,10160,110558,1612,6472,16563,1489,474959
Middle East and Africa:Excel,2074003,73519,89490,51707,8759,32742,18918,3205,164198,199868,115481,19563,73127,42252,7158,24625,29974,17319,2934,10967,6337,1073,80104,97505,56338,9544,35675,20613,3492,777517
Middle East and Africa:spatial,702797,8734,8862,30638,347,6109,9950,183,81310,54117,93042,3245,53648,64534,1224,1421,396,117,2,243,114,1,46932,38742,50408,758,43640,34294,320,69455
Latin America:Excel,2563962,361347,456212,173630,52927,85485,32535,9917,293928,371094,141235,43052,69536,26465,8067,21001,26515,10091,3076,4968,1891,576,70518,89031,33884,10329,16683,6349,1935,141684
Latin America:spatial,287449,11785,10726,45110,1279,2346,10005,348,46555,23247,46431,865,21109,31572,2428,0,0,0,0,0,0,0,7457,3934,2672,54,2112,1823,52,15527
China:Excel,3668130,122501,103080,156555,86252,75162,114155,62892,235564,198217,301047,165858,144533,219514,120938,30295,25492,38717,21330,18588,28231,15553,48540,40844,62033,34176,29782,45232,24920,1098130
China:spatial,2262625,195479,1638,365345,37089,472,19386,8291,688142,22846,265244,9507,15781,36497,3579,109548,5636,5272,151,2075,287,42,141836,7740,99404,1372,2323,3274,176,214180
India:Excel,81393,10962,13065,4152,1199,10265,3262,942,4954,5905,1876,542,4639,1474,426,1046,1247,396,114,980,311,90,2033,2423,770,222,1904,605,175,5414
India:spatial,36137,585,53,4333,3018,29,5495,4877,561,62,2111,1433,40,4856,4268,150,8,46,15,2,73,56,890,45,319,104,18,580,583,1513
EU:Excel,802983,106772,64064,61791,14632,25297,24400,5778,84748,50849,49046,11614,20079,19367,4586,23325,13995,13499,3196,5526,5330,1262,67193,40316,38886,9208,15920,15355,3636,3312
EU:spatial,543821,12264,35905,35159,847,26982,53211,1194,21826,70338,38213,1027,57787,64458,1784,4477,7352,493,61,2294,549,19,8855,27403,11290,440,17735,10149,335,31360
USA:Excel,1319559,201040,135900,102404,29749,23521,17724,5149,214964,145313,109497,31809,25150,18951,5505,5892,3983,3001,872,689,519,151,31925,21581,16262,4724,3735,2815,818,155915
USA:spatial,883295,81192,34776,238548,4366,2391,17767,397,158766,31714,74017,1929,2109,8475,247,0,0,0,0,0,0,0,4516,2274,5051,33,174,1167,10,213365
